order_id,order_date,brand,model_name,category,gender,size,color,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,payment_method,sales_channel,country,customer_income_level,customer_rating
ORD100000,2021-01-30,ASICS,Model-370,Running,Unisex,8,Black,162,15,137.7,1,137.7,Card,Retail Store,Germany,Low,4.6
ORD100001,2026-10-05,Reebok,Model-314,Lifestyle,Men,8,Grey,80,5,76.0,3,228.0,Card,Online,USA,Low,3.9
ORD100002,2023-11-12,ASICS,Model-763,Lifestyle,Men,8,Black,176,15,149.6,4,598.4,Cash,Retail Store,India,Medium,3.0
ORD100003,2026-08-29,Reebok,Model-905,Basketball,Women,7,White,61,15,51.85,2,103.7,Card,Retail Store,India,High,3.4
ORD100004,2019-11-09,Nike,Model-413,Training,Men,11,Black,80,0,80.0,4,320.0,Cash,Online,USA,Medium,3.0
ORD100005,2021-08-27,Nike,Model-158,Gym,Unisex,7,Grey,148,0,148.0,3,444.0,Wallet,Retail Store,UK,Low,3.1
ORD100006,2019-02-21,Reebok,Model-786,Gym,Women,11,Black,74,30,51.8,2,103.6,Bank Transfer,Online,UAE,High,3.4
ORD100007,2020-05-17,New Balance,Model-604,Lifestyle,Women,8,White,114,15,96.9,4,387.6,Bank Transfer,Online,USA,High,4.7
ORD100008,2022-03-30,New Balance,Model-266,Running,Unisex,7,Grey,194,20,155.2,1,155.2,Bank Transfer,Retail Store,UK,High,4.9
ORD100009,2026-03-11,Nike,Model-876,Gym,Unisex,7,Black,119,30,83.3,2,166.6,Card,Retail Store,USA,Medium,3.2
ORD100010,2022-04-06,Adidas,Model-554,Running,Men,9,Blue,143,15,121.55,3,364.65,Card,Online,UAE,Medium,4.0
ORD100011,2020-05-20,Nike,Model-661,Gym,Men,9,Blue,94,30,65.8,1,65.8,Bank Transfer,Online,Germany,High,3.6
ORD100012,2025-09-20,Puma,Model-871,Lifestyle,Men,11,White,193,30,135.1,2,270.2,Wallet,Retail Store,UAE,Low,3.1
ORD100013,2023-12-07,Adidas,Model-261,Training,Unisex,7,Black,205,5,194.75,4,779.0,Bank Transfer,Retail Store,USA,Medium,4.8
ORD100014,2026-01-03,Reebok,Model-351,Training,Women,6,White,73,30,51.1,3,153.3,Wallet,Online,USA,Low,4.9
ORD100015,2021-04-06,Adidas,Model-316,Running,Unisex,9,Black,141,20,112.8,4,451.2,Cash,Retail Store,UK,Medium,4.2
ORD100016,2024-04-15,Puma,Model-912,Running,Men,6,Grey,100,20,80.0,3,240.0,Cash,Online,India,High,3.0
ORD100017,2023-11-09,Reebok,Model-747,Training,Women,8,White,68,0,68.0,4,272.0,Card,Retail Store,Pakistan,Low,3.4
ORD100018,2022-02-07,Adidas,Model-388,Lifestyle,Women,8,Red,195,10,175.5,3,526.5,Card,Retail Store,Germany,High,3.1
ORD100019,2023-05-22,Adidas,Model-300,Gym,Men,9,Black,100,15,85.0,3,255.0,Wallet,Online,India,Low,3.7
ORD100020,2020-02-09,Nike,Model-904,Lifestyle,Women,8,Grey,107,30,74.9,4,299.6,Wallet,Retail Store,UK,Low,4.2
ORD100021,2020-08-06,Reebok,Model-712,Basketball,Unisex,11,Black,94,0,94.0,3,282.0,Bank Transfer,Online,USA,High,4.7
ORD100022,2026-07-19,Adidas,Model-866,Lifestyle,Unisex,11,Red,64,5,60.8,3,182.4,Card,Online,India,Medium,4.0
ORD100023,2024-06-18,Nike,Model-991,Training,Men,10,Black,196,5,186.2,2,372.4,Wallet,Online,USA,High,3.4
